index,game_id,player,players,generations,createtime,playerScore,position,count,corporation,corporation2,cn,cn_2,breakthrough,aresExtension,erosCardsOption,doubleCorp,pathfindersExpansion,moonExpansion,id,name,resourceCount,players_terraformRating,rn,title,reason
17.0,ga9eb2e67c24e,王子,2,12,2021-06-20 23:22:14,182,1,1,Splice (breakthrough),Point Luna,微生物公司(突破),点月,True,False,False,True,,False,ga9eb2e67c24e,Sky Docks,,53.0,4.0,黑暗法师,在12时代内同时打出所有全卡减费 (4/4)
18.0,g7b49be2bb1cf,1,2,12,2022-02-12 13:49:47,179,1,1,Point Luna,,点月,,False,False,False,False,False,False,g7b49be2bb1cf,Sky Docks,0.0,66.0,4.0,黑暗法师,在12时代内同时打出所有全卡减费 (4/4)
19.0,g6e440e4d7b2f,Huasong ,2,11,2021-06-15 02:06:27,177,2,1,Pharmacy Union,Inventrix (breakthrough),制药联盟,科技适应(突破),True,True,False,True,,False,g6e440e4d7b2f,Research Outpost,,63.0,4.0,黑暗法师,在11时代内同时打出所有全卡减费 (4/4)
20.0,g3d6ca500c355,sugarr,2,13,2022-02-22 17:34:57,168,1,1,Teractor,,地球公司(未突破),,False,False,False,False,False,False,g3d6ca500c355,Sky Docks,0.0,45.0,4.0,黑暗法师,在13时代内同时打出所有全卡减费 (4/4)
21.0,gbb3346288f3d,尼禄,4,7,2021-11-20 17:38:55,167,1,1,Brotherhood of Mutants,Interplanetary Cinematics (breakthrough),兄弟会,事件(突破),True,True,True,True,,False,gbb3346288f3d,Research Outpost,,58.0,4.0,黑暗法师,在7时代内同时打出所有全卡减费 (4/4)
22.0,ga4de6e7251a9,12345,2,9,2022-03-06 10:12:30,160,1,1,Manutech,Vitor,产能公司,分牌回3,True,False,False,True,True,False,ga4de6e7251a9,Anti-Gravity Technology,0.0,51.0,4.0,黑暗法师,在9时代内同时打出所有全卡减费 (4/4)
23.0,g9c42bbbddc9c,阿尔,4,8,2021-11-11 19:37:43,142,1,1,Arklight (breakthrough),Colonial One,动物(突破),粉丝扩贸易,True,True,True,True,,False,g9c42bbbddc9c,Research Outpost,,42.0,4.0,黑暗法师,在8时代内同时打出所有全卡减费 (4/4)
24.0,ga004176e5efb,瓜,2,9,2022-02-15 10:15:01,126,1,1,Valley Trust (breakthrough),Mons Insurance,前序公司(突破),保险,True,True,True,True,True,False,ga004176e5efb,Sky Docks,0.0,53.0,4.0,黑暗法师,在9时代内同时打出所有全卡减费 (4/4)
25.0,g746c456280b9,童话,4,9,2021-11-30 00:45:49,114,1,1,Cheung Shing MARS,,铁牌-2,,True,False,False,False,,False,g746c456280b9,Earth Catapult,,34.0,4.0,黑暗法师,在9时代内同时打出所有全卡减费 (4/4)
26.0,g6a64fe6fd64f,Xu,2,11,2022-01-20 18:53:50,111,1,1,Morning Star Inc.,,金星公司(未突破),,False,False,False,False,,False,g6a64fe6fd64f,Research Outpost,,44.0,4.0,黑暗法师,在11时代内同时打出所有全卡减费 (4/4)
27.0,ga6419e2ea1b9,萌新z,4,6,2021-07-22 00:17:17,104,1,1,Terralabs Research (breakthrough),Viron (breakthrough),买牌1块(突破),双动公司(突破),True,True,True,True,,False,ga6419e2ea1b9,Sky Docks,,39.0,4.0,黑暗法师,在6时代内同时打出所有全卡减费 (4/4)
28.0,gc562130f0f1e,幼女,4,7,2021-12-11 22:56:51,103,1,1,Terralabs Research (breakthrough),Polyphemos (breakthrough),买牌1块(突破),买牌5块(突破),True,True,True,True,,False,gc562130f0f1e,Sky Docks,,36.0,4.0,黑暗法师,在7时代内同时打出所有全卡减费 (4/4)
29.0,g948eb93fc62e,小六,4,8,2022-02-09 00:20:18,93,1,1,Point Luna,,点月,,False,False,False,False,False,False,g948eb93fc62e,Earth Catapult,0.0,33.0,4.0,黑暗法师,在8时代内同时打出所有全卡减费 (4/4)
30.0,gaecf6ebfd519,stanley,4,8,2022-02-26 17:35:13,81,1,1,Mons Insurance,Robinson Industries (breakthrough),保险,鲁滨逊(突破),True,False,False,True,False,False,gaecf6ebfd519,Anti-Gravity Technology,0.0,27.0,4.0,黑暗法师,在8时代内同时打出所有全卡减费 (4/4)
31.0,gcd0d305f3c16,乙木,4,7,2021-12-24 15:49:21,68,3,1,Valley Trust (breakthrough),,前序公司(突破),,True,False,False,False,,False,gcd0d305f3c16,Anti-Gravity Technology,,29.0,4.0,黑暗法师,在7时代内同时打出所有全卡减费 (4/4)
,g84eed9633301,奶牛,4,7,2021-06-25 17:17:43,111,1,1,Point Luna,Valley Trust (breakthrough),点月,前序公司(突破),True,True,False,True,,False,g84eed9633301,Bactoviral Research,,33.0,6.0,见微知著,打出微生物核心组件 (6/6)
,g195a13c4eba5,tm-tour-630,4,7,2021-06-29 16:06:16,119,1,1,Splice (breakthrough),Pharmacy Union,微生物公司(突破),制药联盟,True,True,True,True,,False,g195a13c4eba5,Bio-Fertilizer Facility,,39.0,6.0,见微知著,打出微生物核心组件 (6/6)
,gd78b7bc42a0f,阿狗锄大地,4,6,2021-07-01 22:40:50,100,1,1,Brotherhood of Mutants,Viron (breakthrough),兄弟会,双动公司(突破),True,True,True,True,,False,gd78b7bc42a0f,Bactoviral Research,,37.0,7.0,见微知著,打出微生物核心组件 (7/6)
,g918e7ea69abe,庄,4,9,2021-07-05 17:05:59,147,1,1,Terralabs Research (breakthrough),Celestic (breakthrough),买牌1块(突破),云公司(突破),True,True,False,True,,False,g918e7ea69abe,Bio-Fertilizer Facility,,40.0,6.0,见微知著,打出微生物核心组件 (6/6)
,gb983337f38bb,小麦,4,7,2021-07-08 16:09:11,148,1,1,Manutech,Brotherhood of Mutants,产能公司,兄弟会,True,True,True,True,,False,gb983337f38bb,Bactoviral Research,,34.0,6.0,见微知著,打出微生物核心组件 (6/6)
,g8eb7b5f212fd,钝钝,4,6,2021-07-16 00:44:10,106,1,1,Inventrix (breakthrough),Splice (breakthrough),科技适应(突破),微生物公司(突破),True,True,True,True,,False,g8eb7b5f212fd,Ants,1.0,44.0,6.0,见微知著,打出微生物核心组件 (6/6)
,gdd879ae52077,萌新z,4,7,2021-07-22 17:37:21,100,1,1,Id Front,Manutech,前线基地,产能公司,True,True,True,True,,False,gdd879ae52077,Bactoviral Research,,32.0,6.0,见微知著,打出微生物核心组件 (6/6)
,gbdb4aecd12ce,dfc,4,6,2021-07-23 23:34:51,111,1,1,Point Luna,Terralabs Research (breakthrough),点月,买牌1块(突破),True,False,False,True,,False,gbdb4aecd12ce,Decomposers,8.0,29.0,6.0,见微知著,打出微生物核心组件 (6/6)
,g3555f1f3cccf,尼禄,4,9,2021-12-11 23:53:06,323,1,1,Brotherhood of Mutants,Incite Ender,兄弟会, ee公司,True,True,True,True,,False,g3555f1f3cccf,Bactoviral Research,,74.0,10.0,见微知著,打出微生物核心组件 (10/6)
,gf4fab041b58d,amadeus,4,9,2021-12-17 14:42:24,121,1,1,Tharsis_republic (breakthrough),Splice (breakthrough),城公司(突破),微生物公司(突破),True,True,True,True,,False,gf4fab041b58d,Venusian Insects,4.0,22.0,8.0,见微知著,打出微生物核心组件 (8/6)
,gdea01c66cbe0,dancerhui,4,8,2022-01-05 15:54:01,212,1,1,Inventrix (breakthrough),Trade Navigator,科技适应(突破),霞之白嫖,True,True,True,True,,False,gdea01c66cbe0,Bactoviral Research,,47.0,7.0,见微知著,打出微生物核心组件 (7/6)
,g56292f9f6227,阿尔,4,8,2022-01-06 18:29:54,163,1,1,MorningStar Inc (breakthrough),Celestic (breakthrough),金星公司(突破),云公司(突破),True,True,True,True,,False,g56292f9f6227,Bio-Fertilizer Facility,,32.0,7.0,见微知著,打出微生物核心组件 (7/6)
,g88fb62698f4c,霜,4,8,2022-01-14 23:14:15,99,1,1,Junk Ventures,Viron (breakthrough),垃圾回收,双动公司(突破),True,True,True,True,,True,g88fb62698f4c,Bactoviral Research,,26.0,7.0,见微知著,打出微生物核心组件 (7/6)
,gc71b2fadcd4e,dyc,4,10,2022-02-01 01:08:58,94,1,1,Aphrodite,,金星植物(未突破),,False,False,False,False,False,False,gc71b2fadcd4e,Bactoviral Research,0.0,30.0,6.0,见微知著,打出微生物核心组件 (6/6)
,g89b600762433,罗成,4,9,2022-03-08 23:10:01,156,1,1,Id Front,MorningStar Inc (breakthrough),前线基地,金星公司(突破),True,False,True,True,False,False,g89b600762433,Bactoviral Research,0.0,41.0,6.0,见微知著,打出微生物核心组件 (6/6)
,gd4b9aa6e6e43,雪櫻,4,6,2021-06-24 23:08:45,72,2,1,Trade Navigator,Id Front,霞之白嫖,前线基地,True,True,True,True,,False,gd4b9aa6e6e43,Ants,9.0,29.0,6.0,见微知著,打出微生物核心组件 (6/6)
,g2ec1cc55a011,霞,4,7,2021-07-02 18:20:54,99,2,1,Splice (breakthrough),Pharmacy Union,微生物公司(突破),制药联盟,True,True,True,True,,False,g2ec1cc55a011,Ecological Survey,,44.0,6.0,见微知著,打出微生物核心组件 (6/6)
,g4105ecb2b7e6,827717358,4,9,2021-07-04 14:12:47,140,2,1,Aristarchus,Trade Navigator,10钱产,霞之白嫖,True,True,True,True,,False,g4105ecb2b7e6,Ants,10.0,44.0,6.0,见微知著,打出微生物核心组件 (6/6)
,g42f66090c93d,钟离,4,9,2022-02-13 00:12:59,74,2,1,Inventrix (breakthrough),,科技适应(突破),,True,False,False,False,False,False,g42f66090c93d,Bactoviral Research,0.0,17.0,6.0,见微知著,打出微生物核心组件 (6/6)
,g7d9c4808bd27,坐牢人,4,8,2021-11-06 21:48:45,84,3,1,Arklight (breakthrough),Splice (breakthrough),动物(突破),微生物公司(突破),True,True,False,True,,False,g7d9c4808bd27,Bactoviral Research,,33.0,6.0,见微知著,打出微生物核心组件 (6/6)
,ge03cc893408e,FAT,4,9,2021-11-05 18:16:42,91,4,1,Splice (breakthrough),Recyclon (breakthrough),微生物公司(突破),铁微生物(突破),True,False,False,True,,False,ge03cc893408e,Viral Enhancers,,28.0,6.0,见微知著,打出微生物核心组件 (6/6)
,g6e440e4d7b2f,二狗,2,11,2021-06-15 02:06:27,214,1,1,Cheung Shing MARS,Factorum (breakthrough),铁牌-2,电产抽铁牌(突破),True,True,False,True,,False,g6e440e4d7b2f,Bio-Fertilizer Facility,,59.0,9.0,见微知著,打出微生物核心组件 (9/6)
,g22f689be4676,黄鸡,2,9,2021-06-30 21:44:13,182,1,1,Vitor,Manutech,分牌回3,产能公司,True,True,True,True,,False,g22f689be4676,Venusian Insects,2.0,61.0,6.0,见微知著,打出微生物核心组件 (6/6)
,g87f2989e09f1,米饭,2,13,2021-07-05 23:47:41,203,1,1,Splice (breakthrough),Factorum (breakthrough),微生物公司(突破),电产抽铁牌(突破),True,True,False,True,,False,g87f2989e09f1,Ants,2.0,50.0,6.0,见微知著,打出微生物核心组件 (6/6)
,ge84d4cf4cdd9,小企鹅,2,21,2021-07-09 19:33:59,736,1,1,Saturn Systems,Trade Navigator,木星公司,霞之白嫖,True,True,True,True,,True,ge84d4cf4cdd9,Bactoviral Research,,141.0,7.0,见微知著,打出微生物核心组件 (7/6)
,g76d3b2d3d260,吴睿杰,2,18,2021-07-10 13:46:18,588,1,1,Tharsis_republic (breakthrough),Trade Navigator,城公司(突破),霞之白嫖,True,True,True,True,,True,g76d3b2d3d260,Bactoviral Research,,152.0,10.0,见微知著,打出微生物核心组件 (10/6)
,gf679c8442285,kino,2,10,2021-07-10 14:43:28,442,1,1,MorningStar Inc (breakthrough),Trade Navigator,金星公司(突破),霞之白嫖,True,True,True,True,,False,gf679c8442285,Ants,7.0,94.0,6.0,见微知著,打出微生物核心组件 (6/6)
,g4c6923136c1c,owl,2,11,2021-07-16 18:32:53,161,1,1,Point Luna,Junk Ventures,点月,垃圾回收,True,False,False,True,,False,g4c6923136c1c,Bactoviral Research,,39.0,6.0,见微知著,打出微生物核心组件 (6/6)
,gb2957ad1cd7c,adonkey,2,18,2021-11-07 01:41:39,345,1,1,Aridor,,标记钱产,,False,False,False,False,,False,gb2957ad1cd7c,Topsoil Contract,,76.0,6.0,见微知著,打出微生物核心组件 (6/6)
,g67b23a7bcb50,囧囧,2,10,2021-11-11 00:02:47,145,1,1,Factorum (breakthrough),MorningStar Inc (breakthrough),电产抽铁牌(突破),金星公司(突破),True,False,False,True,,False,g67b23a7bcb50,Bactoviral Research,,39.0,6.0,见微知著,打出微生物核心组件 (6/6)
,g6b45881068f1,Makise,2,12,2021-11-11 17:32:17,443,1,1,Mons Insurance,Project Workshop,保险,蓝卡公司,True,True,True,True,,False,g6b45881068f1,Bactoviral Research,,100.0,7.0,见微知著,打出微生物核心组件 (7/6)
,g5d20e9f36c1f,萌新,2,10,2021-11-12 00:12:01,177,1,1,Vitor,Project Workshop,分牌回3,蓝卡公司,True,True,True,True,,False,g5d20e9f36c1f,Venusian Insects,2.0,41.0,6.0,见微知著,打出微生物核心组件 (6/6)
,gd87b9d7cfa42,麦,2,11,2021-11-14 19:57:37,265,1,1,Curiosity II,Factorum (breakthrough),版图抽牌,电产抽铁牌(突破),True,True,True,True,,False,gd87b9d7cfa42,Sulphur-Eating Bacteria,0.0,53.0,8.0,见微知著,打出微生物核心组件 (8/6)
,g107766dde364,114514,2,12,2021-11-20 23:11:15,175,1,1,Terralabs Research (breakthrough),Project Workshop,买牌1块(突破),蓝卡公司,True,True,True,True,,False,g107766dde364,Sulphur-Eating Bacteria,2.0,75.0,6.0,见微知著,打出微生物核心组件 (6/6)
,gb42e58fee5d6,black,2,8,2021-11-26 12:25:28,102,1,1,Factorum (breakthrough),Splice (breakthrough),电产抽铁牌(突破),微生物公司(突破),True,True,False,True,,False,gb42e58fee5d6,Ants,2.0,44.0,6.0,见微知著,打出微生物核心组件 (6/6)
,gb6039067f1ba,工具人,2,19,2021-12-12 22:57:32,418,1,1,Chaos,Interplanetary Cinematics (breakthrough), Chaos,事件(突破),True,True,True,True,,True,gb6039067f1ba,Topsoil Contract,,128.0,6.0,见微知著,打出微生物核心组件 (6/6)
,g5ac2a50bdb1a,怒改火星龙日天,2,11,2021-12-29 00:49:43,148,1,1,Aridor,Arklight,标记钱产,动物(未突破),False,False,False,True,,False,g5ac2a50bdb1a,Bactoviral Research,,49.0,6.0,见微知著,打出微生物核心组件 (6/6)
,g66b21dd7add8,jeremypha,2,14,2022-01-02 03:52:12,421,1,1,Celestic (breakthrough),Point Luna,云公司(突破),点月,True,False,True,True,,True,g66b21dd7add8,Venusian Insects,2.0,77.0,7.0,见微知著,打出微生物核心组件 (7/6)
,gd0ae32ebd265,乙木,2,10,2022-01-08 13:11:37,123,1,1,Splice (breakthrough),Arcadian Communities (breakthrough),微生物公司(突破),社区(突破),True,True,True,True,,False,gd0ae32ebd265,Hydrothermal Vent Archaea,4.0,40.0,6.0,见微知著,打出微生物核心组件 (6/6)
,g37b60eec02d6,囧囧打人,2,9,2022-01-24 22:30:17,156,1,1,Splice (breakthrough),Pharmacy Union,微生物公司(突破),制药联盟,True,True,False,True,True,False,g37b60eec02d6,Bactoviral Research,0.0,61.0,6.0,见微知著,打出微生物核心组件 (6/6)
,gdbe821897812,tuzi,2,20,2022-01-26 22:34:54,1000,1,1,Inventrix (breakthrough),Trade Navigator,科技适应(突破),霞之白嫖,True,True,True,True,True,True,gdbe821897812,Hydrothermal Vent Archaea,28.0,154.0,12.0,见微知著,打出微生物核心组件 (12/6)
,gd81e4756cf00,pete,2,12,2022-01-29 23:24:28,232,1,1,Point Luna,Arklight (breakthrough),点月,动物(突破),True,False,True,True,True,False,gd81e4756cf00,Bactoviral Research,0.0,53.0,6.0,见微知著,打出微生物核心组件 (6/6)
,g5d3ebb53b301,真,2,31,2022-02-02 18:54:00,833,1,1,CrediCor,,57公司,,False,False,False,False,False,False,g5d3ebb53b301,Ants,8.0,146.0,8.0,见微知著,打出微生物核心组件 (8/6)
,g8a23b0cf28ed,2,2,26,2022-02-03 02:12:09,812,1,1,United Nations Mars Initiative,,UNMI(未突破),,False,False,False,False,False,False,g8a23b0cf28ed,Venusian Insects,2.0,159.0,8.0,见微知著,打出微生物核心组件 (8/6)
,gfc3611e1265a,真香,2,13,2022-02-08 01:51:30,257,1,1,Celestic (breakthrough),StormCraft Incorporated (breakthrough),云公司(突破),木星云公司(突破),True,False,False,True,False,False,gfc3611e1265a,Bactoviral Research,0.0,47.0,6.0,见微知著,打出微生物核心组件 (6/6)
,gba18f544855c,silenced,2,10,2022-02-10 02:58:04,174,1,1,Splice (breakthrough),Teractor (breakthrough),微生物公司(突破),地球公司(突破),True,True,True,True,True,False,gba18f544855c,Bactoviral Research,0.0,74.0,6.0,见微知著,打出微生物核心组件 (6/6)
,g39288ea19911,Red,2,12,2022-02-13 18:55:30,189,1,1,Arklight,,动物(未突破),,False,False,False,False,False,False,g39288ea19911,Venusian Insects,6.0,53.0,6.0,见微知著,打出微生物核心组件 (6/6)
,gbd138b328307,Maya,2,10,2022-02-18 20:12:09,217,1,1,Viron (breakthrough),Brotherhood of Mutants,双动公司(突破),兄弟会,True,True,True,True,True,True,gbd138b328307,Ecological Survey,0.0,61.0,6.0,见微知著,打出微生物核心组件 (6/6)
,g19b2ac8caaac,1,2,11,2022-03-05 21:32:34,390,1,1,Point Luna,Teractor (breakthrough),点月,地球公司(突破),True,False,True,True,False,False,g19b2ac8caaac,Hydrothermal Vent Archaea,0.0,87.0,6.0,见微知著,打出微生物核心组件 (6/6)
,g9a48781ebdab,dd,2,10,2021-07-14 02:17:52,237,2,1,Vitor,Philares,分牌回3,贴贴公司,True,True,True,True,,False,g9a48781ebdab,Viral Enhancers,,67.0,6.0,见微知著,打出微生物核心组件 (6/6)
,g6cbb4a2b4471,在家带娃鬼畜陈,2,11,2021-11-15 22:40:14,129,2,1,Factorum,Splice,电产抽铁牌(未突破),微生物公司(未突破),False,False,False,True,,False,g6cbb4a2b4471,Viral Enhancers,,46.0,6.0,见微知著,打出微生物核心组件 (6/6)
,ge9a45ab7c975,认真一拳龙日天,2,12,2021-12-01 01:49:28,130,2,1,Aridor,Recyclon,标记钱产,铁微生物(未突破),False,False,False,True,,False,ge9a45ab7c975,GMO Contract,,42.0,6.0,见微知著,打出微生物核心组件 (6/6)
,ga831b35c7b5e,封天小驰,2,11,2021-12-18 01:59:37,130,2,1,Curiosity II,Pobolog (breakthrough),版图抽牌,钛公司(未突破),True,True,True,True,,False,ga831b35c7b5e,GMO Contract,,38.0,6.0,见微知著,打出微生物核心组件 (6/6)
,gd7e0b3e5ba86,小z,2,11,2021-12-20 17:59:36,192,2,1,Vitor,Cheung Shing MARS,分牌回3,铁牌-2,False,False,True,True,,False,gd7e0b3e5ba86,Decomposers,9.0,56.0,6.0,见微知著,打出微生物核心组件 (6/6)
,g7fd18efc8700,lao,2,15,2022-02-10 23:49:06,174,2,1,Polyphemos,,买牌5块(未突破),,False,False,False,False,False,False,g7fd18efc8700,Venusian Insects,2.0,52.0,6.0,见微知著,打出微生物核心组件 (6/6)
,g8b57bf4fba70,lu,2,20,2022-03-07 00:49:17,266,2,1,Celestic,,云公司(未突破),,False,False,False,False,False,False,g8b57bf4fba70,Decomposers,11.0,59.0,7.0,见微知著,打出微生物核心组件 (7/6)
,g41cedeec0607,something,2,11,2022-03-09 00:06:02,180,2,1,Vitor,Tharsis_republic (breakthrough),分牌回3,城公司(突破),True,False,False,True,False,False,g41cedeec0607,Bactoviral Research,0.0,44.0,6.0,见微知著,打出微生物核心组件 (6/6)
,g195a13c4eba5,tm-tour-630,4,7,2021-06-29 16:06:16,119,1,1,Splice (breakthrough),Pharmacy Union,微生物公司(突破),制药联盟,True,True,True,True,,False,g195a13c4eba5,Ocean Sanctuary,11.0,39.0,4.0,驯兽大师,打出动物核心组件 (4/4)
,gd78b7bc42a0f,阿狗锄大地,4,6,2021-07-01 22:40:50,100,1,1,Brotherhood of Mutants,Viron (breakthrough),兄弟会,双动公司(突破),True,True,True,True,,False,gd78b7bc42a0f,Ocean Sanctuary,2.0,37.0,4.0,驯兽大师,打出动物核心组件 (4/4)
,gb983337f38bb,小麦,4,7,2021-07-08 16:09:11,148,1,1,Manutech,Brotherhood of Mutants,产能公司,兄弟会,True,True,True,True,,False,gb983337f38bb,Ecological Zone:ares,3.0,34.0,4.0,驯兽大师,打出动物核心组件 (4/4)
,gcf602925231a,乙木,4,6,2021-07-26 02:31:20,103,1,1,Poseidon,UNMI (breakthrough),殖民公司,UNMI(突破),True,True,True,True,,False,gcf602925231a,Ocean Sanctuary,13.0,42.0,4.0,驯兽大师,打出动物核心组件 (4/4)
,g55a7ebf1591b,囧囧,4,7,2021-11-19 21:14:27,97,1,1,Splice (breakthrough),Viron (breakthrough),微生物公司(突破),双动公司(突破),True,True,True,True,,False,g55a7ebf1591b,Ocean Sanctuary,4.0,35.0,4.0,驯兽大师,打出动物核心组件 (4/4)
,gf8f452877a18,东鸟,4,7,2022-01-05 17:54:32,102,1,1,Point Luna,Void,点月,70元公司,True,True,True,True,,False,gf8f452877a18,Ocean Sanctuary,10.0,34.0,4.0,驯兽大师,打出动物核心组件 (4/4)
,g7e30852feaa7,尼禄,4,7,2022-01-06 16:25:20,154,1,1,Brotherhood of Mutants,Aphrodite (breakthrough),兄弟会,金星植物(突破),True,True,True,True,,False,g7e30852feaa7,Ocean Sanctuary,11.0,45.0,4.0,驯兽大师,打出动物核心组件 (4/4)
,gd7c7a7f4d076,蜘蛛,4,7,2022-01-10 21:17:29,113,1,1,Manutech,Poseidon,产能公司,殖民公司,True,True,True,True,,False,gd7c7a7f4d076,Meat Industry,,32.0,4.0,驯兽大师,打出动物核心组件 (4/4)
,g88fb62698f4c,霜,4,8,2022-01-14 23:14:15,99,1,1,Junk Ventures,Viron (breakthrough),垃圾回收,双动公司(突破),True,True,True,True,,True,g88fb62698f4c,Ecological Zone:ares,5.0,26.0,4.0,驯兽大师,打出动物核心组件 (4/4)
,ga3784addf5a0,silenced,4,8,2022-01-28 22:22:47,139,1,1,Poseidon,Trade Navigator,殖民公司,霞之白嫖,True,True,True,True,True,False,ga3784addf5a0,Ocean Sanctuary,2.0,33.0,4.0,驯兽大师,打出动物核心组件 (4/4)
,g66456a1018f5,kriko,4,9,2022-02-16 17:12:30,152,1,1,Arklight (breakthrough),Aphrodite (breakthrough),动物(突破),金星植物(突破),True,True,True,True,True,True,g66456a1018f5,Ocean Sanctuary,4.0,45.0,4.0,驯兽大师,打出动物核心组件 (4/4)
,gd347203913d4,misa,4,7,2022-02-12 01:33:32,110,2,1,Collegium Copernicus,Trade Navigator,数据贸易,霞之白嫖,True,True,True,True,True,True,gd347203913d4,Ecological Zone:ares,13.0,46.0,4.0,驯兽大师,打出动物核心组件 (4/4)
